Date,Open,High,Low,Close,Adj Close,Volume
12-02-2024,192.1100006,194.7299957,187.2799988,188.1300049,188.1300049,95498600
13-02-2024,183.9900055,187.2599945,182.1100006,184.0200043,184.0200043,86759500
14-02-2024,185.3000031,188.8899994,183.3500061,188.7100067,188.7100067,81203000
15-02-2024,189.1600037,200.8800049,188.8600006,200.4499969,200.4499969,120831800
16-02-2024,202.0599976,203.1699982,197.3999939,199.9499969,199.9499969,111173600
20-02-2024,196.1300049,198.6000061,189.1300049,193.7599945,193.7599945,104545800
21-02-2024,193.3600006,199.4400024,191.9499969,194.7700043,194.7700043,103844000
22-02-2024,194,198.3200073,191.3600006,197.4100037,197.4100037,92739500
23-02-2024,195.3099976,197.5700073,191.5,191.9700012,191.9700012,78841900
26-02-2024,192.2899933,201.7799988,192,199.3999939,199.3999939,111747100
27-02-2024,204.0399933,205.6000061,198.2599945,199.7299957,199.7299957,108645400
28-02-2024,200.4199982,205.3000031,198.4400024,202.0399933,202.0399933,99806200
29-02-2024,204.1799927,205.2799988,198.4499969,201.8800049,201.8800049,85907000
01-03-2024,200.5200043,204.5200043,198.5,202.6399994,202.6399994,82099200
04-03-2024,198.7299957,199.75,186.7200012,188.1399994,188.1399994,134334900
05-03-2024,183.0500031,184.5899963,177.5700073,180.7400055,180.7400055,119660800
06-03-2024,179.9900055,181.5800018,173.6999969,176.5399933,176.5399933,107920900
07-03-2024,174.3500061,180.0399933,173.6999969,178.6499939,178.6499939,102129000
08-03-2024,181.5,182.7299957,174.6999969,175.3399963,175.3399963,85315300
11-03-2024,175.4499969,182.8699951,174.8000031,177.7700043,177.7700043,85391500
12-03-2024,177.7700043,179.4299927,172.4100037,177.5399933,177.5399933,87391700
13-03-2024,173.0500031,176.0500031,169.1499939,169.4799957,169.4799957,106524500
14-03-2024,167.7700043,171.1699982,160.5099945,162.5,162.5,126325700
15-03-2024,163.1600037,165.1799927,160.7599945,163.5700073,163.5700073,96971900
18-03-2024,170.0200043,174.7200012,165.8999939,173.8000031,173.8000031,108214400
19-03-2024,172.3600006,172.8200073,167.4199982,171.3200073,171.3200073,77271400
20-03-2024,173,176.25,170.8200073,175.6600037,175.6600037,83846700
21-03-2024,176.3899994,178.1799927,171.8000031,172.8200073,172.8200073,73178000
22-03-2024,166.6900024,171.1999969,166.3000031,170.8300018,170.8300018,75454700
25-03-2024,168.7599945,175.2400055,168.7299957,172.6300049,172.6300049,74228600
26-03-2024,178.5800018,184.25,177.3800049,177.6699982,177.6699982,113186200
27-03-2024,181.4100037,181.9100037,176,179.8300018,179.8300018,81804000
28-03-2024,177.4499969,179.5700073,175.3000031,175.7899933,175.7899933,77654800
01-04-2024,176.1699982,176.75,170.2100067,175.2200012,175.2200012,81562100
02-04-2024,164.75,167.6900024,163.4299927,166.6300049,166.6300049,116650600
03-04-2024,164.0200043,168.8200073,163.2799988,168.3800049,168.3800049,82950100
04-04-2024,170.0700073,177.1900024,168.0099945,171.1100006,171.1100006,123162000
05-04-2024,169.0800018,170.8600006,160.5099945,164.8999939,164.8999939,141250700
08-04-2024,169.3399963,174.5,167.7899933,172.9799957,172.9799957,104423300
09-04-2024,172.9100037,179.2200012,171.9199982,176.8800049,176.8800049,103232700
10-04-2024,173.0399933,174.9299927,170.0099945,171.7599945,171.7599945,84532400
11-04-2024,172.5500031,175.8800049,168.5099945,174.6000061,174.6000061,94516000
12-04-2024,172.3399963,173.8099976,170.3600006,171.0500031,171.0500031,64506600
15-04-2024,170.2400055,170.6900024,161.3800049,161.4799957,161.4799957,100245300
16-04-2024,156.7400055,158.1900024,153.75,157.1100006,157.1100006,97000000
17-04-2024,157.6399994,158.3300018,153.7799988,155.4499969,155.4499969,82439700
18-04-2024,151.25,152.1999969,148.6999969,149.9299927,149.9299927,96098800
19-04-2024,148.9700012,150.9400024,146.2200012,147.0500031,147.0500031,86005100
22-04-2024,140.5599976,144.4400024,138.8000031,142.0500031,142.0500031,107097600
23-04-2024,143.3300018,147.2599945,141.1100006,144.6799927,144.6799927,124545100
24-04-2024,162.8399963,167.9700012,157.5099945,162.1300049,162.1300049,181178000
25-04-2024,158.9600067,170.8800049,158.3600006,170.1799927,170.1799927,126427500
